Feature,Importance
Customers,0.7720891137019467
Open,0.07347374962911923
Rolling_STD_7,0.04277741804338997
Rolling_Mean_7,0.017359225716918714
Lag_7,0.013113997735919957
Lag_1,0.012552594677062011
Promo,0.010966419878065523
Day,0.008705112132142673
Store,0.008290458801580348
Week,0.006050440382005897
CompetitionOpenSinceMonth,0.004415531043093062
Promo2SinceWeek,0.004190842569520996
DayName,0.0038092640030050777
CompetitionOpenSinceYear,0.003783599079502776
CompetitionDistance,0.0034470697573125626
DayOfWeek,0.0031248304174192132
Promo2SinceYear,0.002632450632399728
StoreType,0.0019912262405424675
PromoInterval,0.0019301479818950216
SchoolHoliday,0.001422468431149078
Month,0.0012173882058780217
Assortment,0.0012083695819650824
IsWeekend,0.0007986245667386234
Quarter,0.0002993968102950479
Month_End,0.0002862270161522205
Month_Start,6.403296498000831e-05
StateHoliday,0.0
Promo2,0.0
Year,0.0
