Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Day,Week,Quarter,DayName
1,4,2015-01-01,3315,346,1,0,0,0,a,c,3000.0,7.0,2012.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
2,4,2015-01-01,4642,636,1,0,0,0,a,a,7500.0,5.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
3,4,2015-01-01,4760,602,1,0,0,1,d,c,500.0,5.0,2012.0,1,10.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
4,4,2015-01-01,8120,685,1,1,0,0,a,a,1500.0,1.0,2010.0,1,40.0,2011.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
5,4,2015-01-01,10880,1049,1,0,0,0,c,a,15000.0,0.0,2008.0,1,31.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
6,4,2015-01-01,1941,314,1,0,0,0,a,c,1500.0,1.0,0.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
7,4,2015-01-01,3222,530,1,0,0,0,a,a,1500.0,5.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
8,4,2015-01-01,7595,879,1,1,0,0,a,c,500.0,9.0,2014.0,1,40.0,2009.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
9,4,2015-01-01,3038,333,1,0,0,0,d,a,500.0,5.0,2014.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
10,4,2015-01-01,9271,817,1,0,0,0,d,c,3000.0,11.0,2012.0,1,1.0,2015.0,"Jan,Apr,Jul,Oct",2015,1,1,1,1,Thursday
11,4,2015-01-01,12031,1040,1,0,0,1,a,c,120.0,11.0,0.0,1,22.0,2015.0,"Mar,Jun,Sept,Dec",2015,1,1,1,1,Thursday
12,4,2015-01-01,8989,815,1,0,0,0,d,c,3000.0,0.0,2008.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
13,4,2015-01-01,6174,1058,1,0,0,1,a,a,7500.0,5.0,2005.0,0,0.0,0.0,None,2015,1,1,1,1,Thursday
