Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,a,c,3000.0,7.0,2012.0,0,,,
2,a,a,7500.0,5.0,2008.0,0,,,
3,d,c,500.0,5.0,2012.0,1,10.0,2011.0,"Jan,Apr,Jul,Oct"
4,a,a,1500.0,1.0,2010.0,1,40.0,2011.0,"Mar,Jun,Sept,Dec"
5,c,a,15000.0,,2008.0,1,31.0,2009.0,"Mar,Jun,Sept,Dec"
6,a,c,1500.0,1.0,,0,,,
7,a,a,1500.0,5.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
8,a,c,500.0,9.0,2014.0,1,40.0,2009.0,"Mar,Jun,Sept,Dec"
9,d,a,500.0,5.0,2014.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
10,d,c,3000.0,11.0,2012.0,1,1.0,2015.0,"Jan,Apr,Jul,Oct"
11,a,c,120.0,11.0,,1,22.0,2015.0,"Mar,Jun,Sept,Dec"
12,d,c,3000.0,,2008.0,0,,,
13,a,a,7500.0,5.0,2005.0,0,,,
14,a,c,1500.0,5.0,2014.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
15,d,c,3000.0,11.0,2014.0,1,1.0,2013.0,"Mar,Jun,Sept,Dec"
16,a,a,500.0,11.0,,0,,,
17,a,c,500.0,7.0,2008.0,0,,,
18,d,c,1500.0,5.0,2005.0,1,40.0,2009.0,"Jan,Apr,Jul,Oct"
19,d,c,120.0,9.0,2014.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
20,a,a,500.0,9.0,,1,1.0,2013.0,"Mar,Jun,Sept,Dec"
21,a,c,1500.0,,2008.0,0,,,
22,a,a,500.0,,2010.0,0,,,
23,d,c,500.0,1.0,2008.0,0,,,
24,a,a,1500.0,1.0,2010.0,0,,,
25,a,c,500.0,1.0,2012.0,0,,,
26,d,a,1500.0,3.0,2008.0,0,,,
27,d,a,15000.0,9.0,2008.0,1,1.0,2009.0,"Mar,Jun,Sept,Dec"
28,a,a,1500.0,3.0,2010.0,0,,,
29,a,a,1500.0,5.0,,1,10.0,2015.0,"Jan,Apr,Jul,Oct"
30,c,c,500.0,11.0,2014.0,1,22.0,2015.0,"Feb,May,Aug,Nov"
31,d,c,500.0,,2014.0,1,31.0,2015.0,"Mar,Jun,Sept,Dec"
32,a,a,3000.0,3.0,2010.0,1,1.0,2015.0,"Mar,Jun,Sept,Dec"
33,d,c,1500.0,9.0,2008.0,0,,,
34,d,c,500.0,9.0,2005.0,0,,,
35,a,c,120.0,5.0,,1,22.0,2015.0,"Mar,Jun,Sept,Dec"
36,d,a,1500.0,3.0,2008.0,1,40.0,2011.0,"Feb,May,Aug,Nov"
37,d,a,7500.0,3.0,2008.0,1,40.0,2009.0,"Mar,Jun,Sept,Dec"
38,a,a,3000.0,3.0,2010.0,0,,,
39,c,a,7500.0,7.0,2014.0,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
40,d,a,1500.0,11.0,2008.0,1,22.0,2013.0,"Jan,Apr,Jul,Oct"
41,a,c,500.0,1.0,,0,,,
42,d,c,120.0,1.0,2014.0,0,,,
43,a,a,500.0,,,1,31.0,2011.0,"Mar,Jun,Sept,Dec"
44,a,a,1500.0,5.0,2005.0,0,,,
45,c,a,120.0,9.0,2014.0,1,22.0,2011.0,"Feb,May,Aug,Nov"
46,a,c,500.0,1.0,2014.0,0,,,
47,c,a,,,,1,40.0,2013.0,"Jan,Apr,Jul,Oct"
48,a,c,500.0,7.0,2010.0,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
49,d,a,120.0,1.0,2010.0,1,14.0,2009.0,"Mar,Jun,Sept,Dec"
50,a,c,500.0,1.0,2012.0,0,,,
51,a,c,120.0,1.0,,0,,,
52,a,a,120.0,7.0,2012.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
53,a,c,,,,1,14.0,2009.0,"Feb,May,Aug,Nov"
54,a,a,,,,0,,,
55,d,c,1500.0,1.0,2005.0,1,22.0,2009.0,"Feb,May,Aug,Nov"
56,a,a,1500.0,7.0,2010.0,0,,,
